depth_m ; temperature_degC
-6.996000000000095 ; -1.5374604339284588
-11.996000000000095 ; -1.3128813731838704
-16.996000000000095 ; -1.1084006975225407
-21.996000000000095 ; -0.9191290733473352
-26.996000000000095 ; -0.9198258150626089
-31.996000000000095 ; -0.6588667433587716
-36.996000000000095 ; -0.6086522210259773
-41.996000000000095 ; -0.5746294613657597
-46.996000000000095 ; -0.45078684849795536
-51.996000000000095 ; -0.4693431167079325
-56.996000000000095 ; -0.2627853414161905
-61.996000000000095 ; -0.18185145702125283
